login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
monzo,monzo/govalidator,2015-09-19T11:41:30Z,6,6,Go,True,False,MIT License
monzo,monzo/gpg,2019-02-12T12:17:56Z,1,1,Go,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
monzo,monzo/grafana-image-renderer,2020-09-28T09:09:08Z,0,0,,True,False,Apache License 2.0
monzo,monzo/guepacket,2017-05-22T15:08:45Z,2,2,Go,True,True,MIT License
monzo,monzo/halogen,2017-10-24T16:44:53Z,1,1,JavaScript,True,False,MIT License
monzo,monzo/heapster,2017-09-10T08:53:48Z,1,1,Go,True,False,Apache License 2.0
monzo,monzo/intercom-go,2018-04-26T13:56:29Z,2,2,Go,True,False,Other
monzo,monzo/iOS-CircleProgressView,2016-08-31T11:26:43Z,2,2,Swift,True,False,MIT License
monzo,monzo/ISO8601,2020-03-10T09:05:24Z,0,0,Swift,True,True,MIT License
monzo,monzo/Judo-Swift,2016-02-23T14:25:10Z,2,2,Swift,True,False,MIT License
monzo,monzo/JudoKit,2016-04-27T14:22:47Z,0,0,Swift,True,False,MIT License
monzo,monzo/JWTDecode.swift,2016-08-31T12:01:00Z,1,1,Swift,True,False,MIT License
monzo,monzo/kaniko,2019-06-17T12:55:56Z,0,0,Go,True,True,Apache License 2.0
monzo,monzo/KIF,2016-03-30T09:47:15Z,0,0,Objective-C,True,False,Other
monzo,monzo/kontrast,2018-08-28T07:19:35Z,10,10,Go,True,True,
monzo,monzo/kotlin-synthetics-migrator,2021-09-28T13:56:35Z,17,17,Kotlin,True,True,MIT License
monzo,monzo/kube-bench,2020-01-02T09:45:31Z,2,2,Go,True,True,Apache License 2.0
monzo,monzo/kube-controllers,2019-05-18T14:28:34Z,0,0,Go,True,False,Apache License 2.0
monzo,monzo/kube-iptables-tailer,2019-05-20T10:00:08Z,1,1,Go,True,True,Apache License 2.0
monzo,monzo/kube-state-metrics,2019-06-17T13:42:58Z,0,0,Go,True,True,Apache License 2.0
monzo,monzo/kubernetes,2017-03-06T08:06:23Z,6,6,Go,False,False,Apache License 2.0
monzo,monzo/kubernetes.github.io,2017-02-16T17:56:44Z,0,0,HTML,True,False,Creative Commons Attribution 4.0 International
